Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Dancin - Krono Remix,QMLA71400326,6WkJ2OK163XXS2oARUC9JM,"Aaron Smith, Luvli","77qukKzmdI5BeMBR7WGUrN, 6dqohi36avY0M9urnyhITr",Dancin (Krono Remix),886444926584,2J2f6vGACFrRghO1Ki74BE,2014-11-09,Sony Music Entertainment,Canada,58,viral,daily,3,2019-01-31,38,-1,2019-03-16,"43, 25, 18, 12, 10, 9, 8, 8, 5, 6, 5, 5, 5, 3, 3, 3, 5, 6, 6, 6, 6, 6, 7, 12, 11, 11, 8, 11, 12, 11, 16, 15, 15, 13, 14, 14, 15, 19, 18, 19, 21, 21, 20, 20, 25, 25, 25, 23, 21, 27, 26, 34, 34, 33, 41, 37, 37, 38",https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM,https://open.spotify.com/album/2J2f6vGACFrRghO1Ki74BE,https://open.spotify.com/artist/77qukKzmdI5BeMBR7WGUrN
BeastMode,TCAEA1985169,6e4qMgBnQ6embK1HXdm3Qd,Burna Bandz,6wyGyjn9ixZDXBwcapqapJ,Compact Burna,859730399379,10qKRm4Mkgp8pc19T29t6e,2019-01-24,Uptop Movement,Canada,28,viral,daily,20,2019-02-18,39,6,2019-03-16,"23, 20, 24, 27, 26, 24, 29, 33, 34, 36, 39, 41, 44, 50, 40, 36, 29, 29, 31, 29, 25, 49, 46, 47, 43, 44, 45, 39",https://open.spotify.com/track/6e4qMgBnQ6embK1HXdm3Qd,https://open.spotify.com/album/10qKRm4Mkgp8pc19T29t6e,https://open.spotify.com/artist/6wyGyjn9ixZDXBwcapqapJ
Love Me,CAM371902501,53hNIcq8OLj9OUNvQ4ulFM,"Felix Cartal, LIGHTS","6roDXEmZ6AARdOUv6x5U2v, 5pdyjBIaY5o1yOyexGIUc6",Love Me,823675108433,61v9VKrjIIoWWJD2tdVR4J,2019-02-13,"Physical Presents, Fontana North",Canada,5,viral,daily,39,2019-03-15,40,-1,2019-03-16,"49, 46, 40, 39, 40",https://open.spotify.com/track/53hNIcq8OLj9OUNvQ4ulFM,https://open.spotify.com/album/61v9VKrjIIoWWJD2tdVR4J,https://open.spotify.com/artist/6roDXEmZ6AARdOUv6x5U2v
Lamberghini,INM431800062,45P9g6kUb7itdonjjGjDdS,"The Doorbeen, Ragini","5Yz2RjLWPx1PcIRoiot9Sc, 4aKee88VYIQpk7cOJGVwmO",Lamberghini - Single,8902633281295,0DrkuJJyjj8wsr4wuzRfQF,2018-02-25,Times Music,Canada,24,viral,daily,13,2019-02-21,41,6,2019-03-16,"15, 13, 13, 14, 18, 19, 20, 24, 24, 31, 31, 46, 38, 35, 33, 30, 32, 41, 45, 41, 40, 38, 47, 41",https://open.spotify.com/track/45P9g6kUb7itdonjjGjDdS,https://open.spotify.com/album/0DrkuJJyjj8wsr4wuzRfQF,https://open.spotify.com/artist/5Yz2RjLWPx1PcIRoiot9Sc
Big And Chunky,USUM70840966,5wlaCEfi6Zc6PVlZgoCXV9,will.i.am,085pc2PYOi8bGKj0PNjekA,Madagascar: Escape 2 Africa - Music From The Motion Picture,602517884595,53HHf3pv5FGl41cIa8iJQU,2008-11-02,Interscope,Canada,2,viral,daily,42,2019-03-16,42,4,2019-03-16,"46, 42",https://open.spotify.com/track/5wlaCEfi6Zc6PVlZgoCXV9,https://open.spotify.com/album/53HHf3pv5FGl41cIa8iJQU,https://open.spotify.com/artist/085pc2PYOi8bGKj0PNjekA
i'm so tired...,GBKPL1933763,7COXchtUOMd6uIT6HvmRaI,"Lauv, Troye Sivan","5JZ7CnR6gTvEMKX4g70Amv, 3WGpXCj9YhhfX11TToZcXP",i'm so tired...,5056167111702,13yMsBNa2femeWzhcDOqFw,2019-01-23,Lauv,Canada,28,viral,daily,8,2019-02-17,43,0,2019-03-16,"8, 8, 8, 8, 8, 9, 9, 11, 10, 10, 11, 11, 11, 13, 18, 19, 18, 18, 19, 20, 22, 32, 33, 35, 42, 42, 43, 43",https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,https://open.spotify.com/album/13yMsBNa2femeWzhcDOqFw,https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv
7 rings,USUM71900110,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",602577490385,2fYhqwDWXjbpjaIJPEfKFw,2019-02-07,Republic Records,Canada,14,viral,daily,21,2019-03-04,44,-4,2019-03-16,"22, 21, 21, 22, 23, 25, 29, 35, 38, 39, 39, 43, 40, 44",https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
Job Done,QZDA51901307,0bLcyYNAPLh6oQTGnRxvSC,LocoCity,3F8zBQBtVl3lb2bEQHBFou,Job Done,193664448735,3RMUKyZetn06KKlTBEMsDU,2019-01-27,Currency Records,Canada,10,viral,daily,36,2019-03-06,45,4,2019-03-16,"44, 44, 40, 44, 36, 41, 47, 50, 49, 45",https://open.spotify.com/track/0bLcyYNAPLh6oQTGnRxvSC,https://open.spotify.com/album/3RMUKyZetn06KKlTBEMsDU,https://open.spotify.com/artist/3F8zBQBtVl3lb2bEQHBFou
Envy Me,USHM91813257,05t7JMip6JrLuSrMV5yYjX,Calboy,0HkcYmcjrBR3SCw9Ld5VZk,Envy Me,886447487464,6kouOn7KSqTklk5Mh1vEH2,2018-12-12,Not specified,Canada,67,viral,daily,5,2019-01-10,46,-5,2019-03-16,"16, 15, 19, 10, 5, 5, 5, 9, 7, 8, 8, 8, 8, 10, 12, 10, 10, 12, 12, 25, 24, 24, 44, 35, 29, 24, 40, 37, 40, 40, 37, 32, 31, 48, 40, 35, 35, 25, 22, 25, 25, 21, 21, 18, 19, 19, 21, 21, 23, 23, 25, 23, 25, 31, 31, 32, 34, 36, 37, 35, 40, 44, 43, 44, 47, 41, 46",https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX,https://open.spotify.com/album/6kouOn7KSqTklk5Mh1vEH2,https://open.spotify.com/artist/0HkcYmcjrBR3SCw9Ld5VZk
bury a friend,USUM71900770,4NzMOnvSJVNKF7nw5NkXIP,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,602577437243,0lheRPWdziAtZEiww8TrUO,2019-01-29,Darkroom,Canada,21,viral,daily,7,2019-02-24,47,-3,2019-03-16,"7, 8, 9, 12, 12, 13, 14, 23, 22, 24, 25, 28, 26, 27, 36, 36, 36, 38, 41, 44, 47",https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,https://open.spotify.com/album/0lheRPWdziAtZEiww8TrUO,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Miracle,FR9W11827929,1zFnf1wfXOl3zX0SrRBTfn,Caravan Palace,37J1PlAkhRK7yrZUtqaUpQ,Miracle,190296912511,74yAk29MqfiSeCj21onVe6,2019-02-07,MVKA,Canada,2,viral,daily,48,2019-03-15,48,0,2019-03-16,"48, 48",https://open.spotify.com/track/1zFnf1wfXOl3zX0SrRBTfn,https://open.spotify.com/album/74yAk29MqfiSeCj21onVe6,https://open.spotify.com/artist/37J1PlAkhRK7yrZUtqaUpQ
Doo Wop,CAZ841800094,17RcMFZHPrjusBlklhSKou,Dead Obies,6pcIfv5iZnVQgUNcKp8lGA,DEAD.,193483255781,3LKroOov310fASJk3twjmP,2019-02-14,Bonsound,Canada,4,viral,daily,42,2019-03-15,49,-7,2019-03-16,"49, 45, 42, 49",https://open.spotify.com/track/17RcMFZHPrjusBlklhSKou,https://open.spotify.com/album/3LKroOov310fASJk3twjmP,https://open.spotify.com/artist/6pcIfv5iZnVQgUNcKp8lGA
"Don't Give Up On Me - (From ""Five Feet Apart"")",QMRSZ1802908,4Y0TtDriFlN3XZoQx6PYsu,Andy Grammer,2oX42qP5ineK3hrhBECLmj,"Don't Give Up On Me (From ""Five Feet Apart"")",4050538478501,0yfSE7Q6NGIbvnEU0sFNRP,2019-02-12,S-Curve Records,Canada,1,viral,daily,50,2019-03-16,50,,2019-03-16,50,https://open.spotify.com/track/4Y0TtDriFlN3XZoQx6PYsu,https://open.spotify.com/album/0yfSE7Q6NGIbvnEU0sFNRP,https://open.spotify.com/artist/2oX42qP5ineK3hrhBECLmj
