Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Con Calma,US2BU1900125,5w9c2J52mkdntKOmRLeM2m,"Daddy Yankee, Snow","4VMYDCV2IEDYJArk749S6m, 3uZFBSsMiooimnprFL9jD1",Con Calma,602577433320,1otwHKoQ5KPaiekpYk4tWh,2019-01-23,El Cartel Records (EC3),Australia,28,viral,daily,6,2019-02-27,18,0,2019-03-16,"22, 20, 22, 22, 16, 11, 9, 7, 7, 7, 6, 6, 6, 7, 10, 9, 10, 12, 13, 16, 16, 15, 16, 18, 17, 19, 18, 18",https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,https://open.spotify.com/album/1otwHKoQ5KPaiekpYk4tWh,https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m
Thotiana,QZDA51839408,3oh6SCCeLuXhFpEyepla6G,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Famous Cryp,634164168223,2gZmrByp6yiyePHi3dzZ1d,2018-12-17,"Fifth Amendment Entertainment, eOne Music",Australia,62,viral,daily,1,2019-02-07,19,0,2019-03-16,"42, 39, 44, 40, 39, 37, 39, 32, 32, 30, 27, 23, 19, 21, 20, 20, 14, 12, 4, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 5, 5, 4, 4, 4, 4, 7, 18, 17, 17, 18, 18, 19, 19",https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,https://open.spotify.com/album/2gZmrByp6yiyePHi3dzZ1d,https://open.spotify.com/artist/3Fl1V19tmjt57oBdxXKAjJ
Undrunk,USUG11900006,5SHhPFh68OhUmuRPymKX9d,FLETCHER,5qa31A9HySw3T7MKWI9bGg,Undrunk,602577370403,5Skgz8BwS0Lfw2zlQSy1EB,2019-01-24,Capitol Records,Australia,18,viral,daily,20,2019-03-15,20,0,2019-03-16,"36, 36, 33, 29, 29, 30, 31, 34, 32, 36, 34, 37, 28, 28, 24, 22, 20, 20",https://open.spotify.com/track/5SHhPFh68OhUmuRPymKX9d,https://open.spotify.com/album/5Skgz8BwS0Lfw2zlQSy1EB,https://open.spotify.com/artist/5qa31A9HySw3T7MKWI9bGg
3 Nights,USQX91802455,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,48kSFSk02ijVsjICUAVZBo,"Don't Forget About Me, Demos",886447290170,1DNx0H5ZX1ax3yyRwtgT4S,2018-10-15,Columbia,Australia,124,viral,daily,2,2018-11-23,21,1,2019-03-16,"14, 17, 14, 12, 15, 12, 11, 12, 6, 5, 5, 3, 2, 3, 6, 7, 7, 7, 8, 8, 7, 6, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 5, 6, 6, 7, 7, 7, 9, 11, 12, 14, 18, 21, 20, 19, 25, 24, 24, 20, 18, 16, 16, 17, 16, 14, 11, 11, 11, 9, 11, 10, 11, 10, 10, 11, 10, 12, 10, 9, 8, 4, 4, 4, 4, 3, 2, 3, 2, 6, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 8, 8, 9, 9, 8, 11, 10, 11, 11, 12, 13, 13, 18, 16, 15, 16, 16, 15, 15, 19, 20, 21, 22, 24, 22, 21",https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,https://open.spotify.com/album/1DNx0H5ZX1ax3yyRwtgT4S,https://open.spotify.com/artist/48kSFSk02ijVsjICUAVZBo
Last Hurrah,USWB11803381,0i0wnv9UoFdZ5MfuFGQzMy,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Last Hurrah,054391946652,5ljc69MQ6iwGcJ4SmHaAh5,2019-02-14,Warner Bros.,Australia,7,viral,daily,15,2019-03-13,22,1,2019-03-16,"17, 18, 16, 15, 16, 23, 22",https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy,https://open.spotify.com/album/5ljc69MQ6iwGcJ4SmHaAh5,https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb
"break up with your girlfriend, i'm bored",USUM71900409,4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",602577490385,2fYhqwDWXjbpjaIJPEfKFw,2019-02-07,Republic Records,Australia,14,viral,daily,7,2019-03-03,23,-2,2019-03-16,"7, 7, 8, 8, 8, 10, 9, 20, 19, 19, 20, 21, 21, 23",https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
Talk,USRC11900004,0rTV5WefWd1J3OwIheTzxM,"Khalid, Disclosure","6LuN9FCkKOj5PcnpouEgny, 6nS5roXSAGhTGr34W6n7Et",Talk,886447506318,58kvvQvx6OtLqEDhqYSzyM,2019-02-06,"Right Hand Music Group, RCA Records",Australia,14,viral,daily,3,2019-03-03,24,3,2019-03-16,"3, 3, 3, 3, 3, 3, 3, 10, 12, 15, 21, 26, 27, 24",https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,https://open.spotify.com/album/58kvvQvx6OtLqEDhqYSzyM,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny
MIDDLE CHILD,QMJMT1902056,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,810760037709,3XzSOIE6zGLliuqsVGLmUc,2019-01-22,Dreamville,Australia,28,viral,daily,4,2019-02-17,25,0,2019-03-16,"4, 5, 5, 5, 5, 5, 5, 8, 8, 9, 9, 9, 9, 8, 13, 15, 17, 17, 18, 19, 18, 24, 24, 22, 26, 27, 25, 25",https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,https://open.spotify.com/album/3XzSOIE6zGLliuqsVGLmUc,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5
Pa Mí - Remix,QM9WM1900002,224EVTFiLsdQignUFLvDeH,"Dalex, Rafa Pabön, Khea, Sech, Cazzu, Feid, Lenny Tavárez","0KPX4Ucy9dk82uj4GpKesn, 11YLRSsZA3YVuQQtHXKTlz, 4m6ubhNsdwF4psNf3R8kwR, 77ziqFxp5gaInVrF2lj4ht, 6w3SkAHYPsQ1bxV7VDlG5y, 2LRoIwlKmHjgvigdNGBHNo, 1pQWsZQehhS4wavwh7Fnxd",Pa Mí (Remix),858167007932,4OyP4eAtpTHXjpVBjJvPNG,2019-02-06,Rich Music,Australia,4,viral,daily,26,2019-03-16,26,24,2019-03-16,"40, 35, 50, 26",https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH,https://open.spotify.com/album/4OyP4eAtpTHXjpVBjJvPNG,https://open.spotify.com/artist/0KPX4Ucy9dk82uj4GpKesn
Who Do You Love (with 5 Seconds of Summer),USQX91803661,11cDEev79fPKi6uJCjUhu8,"The Chainsmokers, 5 Seconds of Summer","69GGBxA162lTqCwzJG5jLp, 5Rl15oVamLq7FbSb0NNBNy",Who Do You Love (with 5 Seconds of Summer),886447509302,7D7hZbj2cLXwozxYePDF6d,2019-02-06,"Disruptor Records, Columbia",Australia,14,viral,daily,10,2019-03-06,27,-1,2019-03-16,"11, 12, 11, 10, 12, 12, 12, 21, 22, 23, 25, 25, 26, 27",https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,https://open.spotify.com/album/7D7hZbj2cLXwozxYePDF6d,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp
Shotta Flow,QZ85M1903991,4dAMdQ6g4kGmnc1MDHsg77,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Shotta Flow,191998138551,4O6AXVdjqdJiGYlEm7fz0o,2019-01-16,No Love Entertainment,Australia,23,viral,daily,17,2019-02-23,28,0,2019-03-16,"20, 17, 17, 17, 19, 19, 17, 19, 20, 20, 19, 19, 20, 22, 21, 19, 30, 39, 32, 27, 23, 28, 28",https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77,https://open.spotify.com/album/4O6AXVdjqdJiGYlEm7fz0o,https://open.spotify.com/artist/0ErzCpIMyLcjPiwT4elrtZ
Hazy Shade of Winter (feat. Ray Toro),USRE11900087,1tBZnhDT8xbgJTs43FiqrD,"Gerard Way, Ray Toro","4YZ5ECfbM2xSTSQTJGBbO5, 7vtO3glDQwyFDY5cTymz4E",Hazy Shade of Winter (feat. Ray Toro),054391946263,4NBFFGWZqYd06XlBPEmgMX,2019-01-23,Reprise,Australia,25,viral,daily,9,2019-02-25,29,-5,2019-03-16,"15, 13, 12, 12, 10, 9, 10, 10, 10, 12, 12, 12, 13, 14, 14, 19, 18, 20, 22, 27, 25, 28, 28, 24, 29",https://open.spotify.com/track/1tBZnhDT8xbgJTs43FiqrD,https://open.spotify.com/album/4NBFFGWZqYd06XlBPEmgMX,https://open.spotify.com/artist/4YZ5ECfbM2xSTSQTJGBbO5
bury a friend,USUM71900770,4NzMOnvSJVNKF7nw5NkXIP,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,602577437243,0lheRPWdziAtZEiww8TrUO,2019-01-29,Darkroom,Australia,21,viral,daily,4,2019-02-24,30,-1,2019-03-16,"4, 4, 4, 5, 4, 5, 5, 9, 10, 12, 13, 15, 17, 17, 26, 25, 27, 29, 29, 29, 30",https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,https://open.spotify.com/album/0lheRPWdziAtZEiww8TrUO,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
