Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Last Hurrah,USWB11803381,0i0wnv9UoFdZ5MfuFGQzMy,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Last Hurrah,054391946652,5ljc69MQ6iwGcJ4SmHaAh5,2019-02-14,Warner Bros.,Ireland,7,viral,daily,12,2019-03-12,19,4,2019-03-16,"13, 13, 12, 13, 15, 23, 19",https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy,https://open.spotify.com/album/5ljc69MQ6iwGcJ4SmHaAh5,https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb
Talk,USRC11900004,0rTV5WefWd1J3OwIheTzxM,"Khalid, Disclosure","6LuN9FCkKOj5PcnpouEgny, 6nS5roXSAGhTGr34W6n7Et",Talk,886447506318,58kvvQvx6OtLqEDhqYSzyM,2019-02-06,"Right Hand Music Group, RCA Records",Ireland,14,viral,daily,15,2019-03-04,20,-2,2019-03-16,"16, 15, 15, 15, 18, 18, 17, 20, 18, 20, 24, 24, 18, 20",https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,https://open.spotify.com/album/58kvvQvx6OtLqEDhqYSzyM,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny
Woke Up Late (feat. Hailee Steinfeld),QMCE31801829,3qLBz3j26AHO2jBYUQWLA6,"Drax Project, Hailee Steinfeld","6S0IvKlvPMX1RtAYtVpUV8, 5p7f24Rk5HkUZsaS3BLG5F",Woke Up Late (feat. Hailee Steinfeld),814908026082,4orebNTJrv5qLKVBOunr1N,2019-01-20,300 Entertainment,Ireland,35,viral,daily,10,2019-02-27,21,3,2019-03-16,"23, 31, 30, 24, 26, 26, 29, 24, 24, 25, 22, 18, 17, 15, 13, 11, 11, 10, 11, 12, 18, 20, 26, 21, 24, 22, 19, 18, 17, 22, 19, 18, 16, 24, 21",https://open.spotify.com/track/3qLBz3j26AHO2jBYUQWLA6,https://open.spotify.com/album/4orebNTJrv5qLKVBOunr1N,https://open.spotify.com/artist/6S0IvKlvPMX1RtAYtVpUV8
Thotiana,QZDA51839408,3oh6SCCeLuXhFpEyepla6G,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Famous Cryp,634164168223,2gZmrByp6yiyePHi3dzZ1d,2018-12-17,"Fifth Amendment Entertainment, eOne Music",Ireland,61,viral,daily,2,2019-02-14,22,-1,2019-03-16,"29, 43, 49, 50, 45, 45, 47, 46, 42, 25, 24, 30, 34, 22, 19, 15, 9, 6, 5, 8, 8, 8, 8, 8, 5, 3, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 4, 4, 4, 4, 7, 8, 10, 10, 8, 10, 9, 15, 15, 15, 19, 20, 21, 22",https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,https://open.spotify.com/album/2gZmrByp6yiyePHi3dzZ1d,https://open.spotify.com/artist/3Fl1V19tmjt57oBdxXKAjJ
Boys Will Be Bugs,USL4Q1849675,67EUBsc4qosGOVbaYy6TeX,Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,Animal Kingdom: Comet,193428261891,1PKhm3GDDgOUwFbMEkZ89R,2018-12-10,Oat Milk,Ireland,6,viral,daily,23,2019-03-16,23,5,2019-03-16,"47, 48, 50, 46, 28, 23",https://open.spotify.com/track/67EUBsc4qosGOVbaYy6TeX,https://open.spotify.com/album/1PKhm3GDDgOUwFbMEkZ89R,https://open.spotify.com/artist/2hR4h1Cao2ueuI7Cx9c7V8
MIDDLE CHILD,QMJMT1902056,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,810760037709,3XzSOIE6zGLliuqsVGLmUc,2019-01-22,Dreamville,Ireland,28,viral,daily,7,2019-02-17,24,2,2019-03-16,"7, 7, 9, 10, 9, 10, 11, 20, 19, 17, 17, 16, 16, 15, 19, 19, 27, 25, 25, 28, 29, 28, 29, 31, 25, 30, 26, 24",https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,https://open.spotify.com/album/3XzSOIE6zGLliuqsVGLmUc,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5
I Don’t Even Know You Anymore (feat. Bazzi & Lil Wayne),USUG11900322,5pzeevBDvU6GVXqUKoiYDX,"Netsky, Bazzi, Lil Wayne","5TgQ66WuWkoQ2xYxaSTnVP, 4GvEc3ANtPPjt1ZJllr5Zl, 55Aa2cqylxrFIXC767Z865",I Don’t Even Know You Anymore,602577484056,7vpee3EK774748ieWc7E76,2019-02-13,Republic Records,Ireland,7,viral,daily,16,2019-03-15,25,-9,2019-03-16,"24, 25, 25, 17, 18, 16, 25",https://open.spotify.com/track/5pzeevBDvU6GVXqUKoiYDX,https://open.spotify.com/album/7vpee3EK774748ieWc7E76,https://open.spotify.com/artist/5TgQ66WuWkoQ2xYxaSTnVP
Wannabe,TCADF1785646,6SQZ3rR7kNord3KYrom49J,why mona,5C1tex8vm00yFKTitiOnMU,Wannabe,193036756376,5ANR2zRWoxW225Sh0qBccw,2017-08-24,Lowly Palace,Ireland,22,viral,daily,16,2019-03-12,26,-7,2019-03-16,"40, 37, 37, 34, 30, 26, 38, 40, 41, 42, 45, 44, 33, 29, 34, 25, 19, 16, 21, 26, 19, 26",https://open.spotify.com/track/6SQZ3rR7kNord3KYrom49J,https://open.spotify.com/album/5ANR2zRWoxW225Sh0qBccw,https://open.spotify.com/artist/5C1tex8vm00yFKTitiOnMU
Who Do You Love (with 5 Seconds of Summer),USQX91803661,11cDEev79fPKi6uJCjUhu8,"The Chainsmokers, 5 Seconds of Summer","69GGBxA162lTqCwzJG5jLp, 5Rl15oVamLq7FbSb0NNBNy",Who Do You Love (with 5 Seconds of Summer),886447509302,7D7hZbj2cLXwozxYePDF6d,2019-02-06,"Disruptor Records, Columbia",Ireland,14,viral,daily,20,2019-03-05,27,2,2019-03-16,"21, 21, 20, 20, 20, 22, 22, 27, 30, 30, 36, 33, 29, 27",https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,https://open.spotify.com/album/7D7hZbj2cLXwozxYePDF6d,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp
7 rings,USUM71900110,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",602577490385,2fYhqwDWXjbpjaIJPEfKFw,2019-02-07,Republic Records,Ireland,14,viral,daily,20,2019-03-04,28,2,2019-03-16,"22, 20, 24, 23, 28, 31, 30, 32, 36, 33, 30, 25, 30, 28",https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
