Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Faucet Failure,USUM71820924,1ThmUihH9dF8EV08ku5AXN,Ski Mask the Slump God,2rhFzFmezpnW82MNqEKVry,STOKELEY,602577359866,0z0z4DcXhHiobX5ZKAw8Qn,2018-11-29,Republic Records,New Zealand,66,viral,daily,10,2019-02-04,26,4,2019-03-16,"47, 49, 40, 48, 36, 30, 30, 29, 30, 35, 40, 48, 46, 33, 33, 39, 41, 41, 48, 41, 49, 44, 48, 16, 17, 13, 13, 16, 10, 12, 15, 15, 13, 13, 18, 20, 19, 20, 21, 24, 24, 27, 27, 31, 30, 26, 24, 24, 26, 28, 30, 35, 37, 37, 40, 44, 41, 45, 49, 45, 48, 49, 44, 38, 30, 26",https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,https://open.spotify.com/album/0z0z4DcXhHiobX5ZKAw8Qn,https://open.spotify.com/artist/2rhFzFmezpnW82MNqEKVry
Rainy Days (feat. Eminem),USUM71818939,015jLlgBeSkl3CApWJhlv7,"Boogie, Eminem","5usbqiU7sjvszjWecANDL6, 7dGJo4pcD2V6oG8kP0tJRR",Everythings For Sale,602577280726,14drLk9rMpA7GPk1MRvRE5,2019-01-24,UMGRI Interscope,New Zealand,28,viral,daily,9,2019-03-03,27,2,2019-03-16,"50, 31, 29, 22, 15, 14, 14, 11, 11, 11, 11, 11, 10, 10, 9, 9, 9, 10, 10, 10, 13, 32, 39, 27, 28, 26, 29, 27",https://open.spotify.com/track/015jLlgBeSkl3CApWJhlv7,https://open.spotify.com/album/14drLk9rMpA7GPk1MRvRE5,https://open.spotify.com/artist/5usbqiU7sjvszjWecANDL6
Boys Will Be Bugs,USL4Q1849675,67EUBsc4qosGOVbaYy6TeX,Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,Animal Kingdom: Comet,193428261891,1PKhm3GDDgOUwFbMEkZ89R,2018-12-10,Oat Milk,New Zealand,12,viral,daily,28,2019-03-16,28,4,2019-03-16,"43, 40, 36, 32, 36, 37, 40, 50, 38, 35, 32, 28",https://open.spotify.com/track/67EUBsc4qosGOVbaYy6TeX,https://open.spotify.com/album/1PKhm3GDDgOUwFbMEkZ89R,https://open.spotify.com/artist/2hR4h1Cao2ueuI7Cx9c7V8
Moonlight,USHM21844771,0A5gdlrpAuQqZ2iFgnqBFW,Gaullin,1aQwKFn00nswXRDUDipm0K,Moonlight,886447285527,4IU5ADOJ9DnVa9clXVhrEE,2018-09-06,b1,New Zealand,1,viral,daily,29,2019-03-16,29,,2019-03-16,29,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW,https://open.spotify.com/album/4IU5ADOJ9DnVa9clXVhrEE,https://open.spotify.com/artist/1aQwKFn00nswXRDUDipm0K
bury a friend,USUM71900770,4NzMOnvSJVNKF7nw5NkXIP,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,602577437243,0lheRPWdziAtZEiww8TrUO,2019-01-29,Darkroom,New Zealand,21,viral,daily,3,2019-02-24,30,-2,2019-03-16,"3, 3, 4, 3, 4, 4, 4, 8, 11, 11, 13, 11, 13, 12, 25, 25, 23, 22, 23, 28, 30",https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,https://open.spotify.com/album/0lheRPWdziAtZEiww8TrUO,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Raise a Hallelujah (Live),USWFE1890529,0YxrPdW9NpNFtqh7Fw0rva,"Bethel Music, Jonathan David Helser, Melissa Helser","26T4yOaOoFJvUvxR87Y9HO, 7vKyyJZVFb16NTWrUV1fGp, 0cng44S55pPu1nDrtFFy7r",Victory,653437581446,6EsmModhcfmKIeCeNQjeDY,2019-01-24,Bethel Music,New Zealand,28,viral,daily,15,2019-02-27,31,-5,2019-03-16,"17, 17, 16, 17, 18, 18, 16, 16, 17, 16, 15, 15, 16, 15, 30, 24, 22, 24, 23, 19, 22, 28, 29, 24, 31, 24, 26, 31",https://open.spotify.com/track/0YxrPdW9NpNFtqh7Fw0rva,https://open.spotify.com/album/6EsmModhcfmKIeCeNQjeDY,https://open.spotify.com/artist/26T4yOaOoFJvUvxR87Y9HO
Thotiana,QZDA51839408,3oh6SCCeLuXhFpEyepla6G,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Famous Cryp,634164168223,2gZmrByp6yiyePHi3dzZ1d,2018-12-17,"Fifth Amendment Entertainment, eOne Music",New Zealand,61,viral,daily,1,2019-02-08,32,2,2019-03-16,"38, 36, 35, 34, 27, 20, 18, 9, 10, 11, 8, 5, 7, 11, 11, 12, 3, 3, 3, 7, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 5, 14, 16, 20, 23, 28, 34, 32",https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,https://open.spotify.com/album/2gZmrByp6yiyePHi3dzZ1d,https://open.spotify.com/artist/3Fl1V19tmjt57oBdxXKAjJ
Hazy Shade of Winter (feat. Ray Toro),USRE11900087,1tBZnhDT8xbgJTs43FiqrD,"Gerard Way, Ray Toro","4YZ5ECfbM2xSTSQTJGBbO5, 7vtO3glDQwyFDY5cTymz4E",Hazy Shade of Winter (feat. Ray Toro),054391946263,4NBFFGWZqYd06XlBPEmgMX,2019-01-23,Reprise,New Zealand,26,viral,daily,14,2019-02-27,33,-17,2019-03-16,"28, 18, 16, 15, 18, 19, 20, 19, 14, 14, 14, 14, 17, 16, 14, 18, 17, 17, 15, 22, 14, 18, 19, 14, 16, 33",https://open.spotify.com/track/1tBZnhDT8xbgJTs43FiqrD,https://open.spotify.com/album/4NBFFGWZqYd06XlBPEmgMX,https://open.spotify.com/artist/4YZ5ECfbM2xSTSQTJGBbO5
Wow.,USUM71822626,6MWtB6iiXyIwun0YzU6DFP,Post Malone,246dkjvS1zLTtiykXe5h60,Wow.,602577412813,5Dcz8PZHKuvTyjbqEPL5VM,2018-12-23,Republic Records,New Zealand,61,viral,daily,1,2019-01-15,34,2,2019-03-16,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 6, 6, 6, 6, 7, 7, 9, 10, 11, 11, 11, 13, 15, 14, 14, 14, 15, 14, 17, 17, 18, 18, 22, 20, 22, 22, 22, 25, 27, 29, 29, 27, 27, 27, 34, 33, 28, 30, 30, 36, 34",https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,https://open.spotify.com/album/5Dcz8PZHKuvTyjbqEPL5VM,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60
7 rings,USUM71900110,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",602577490385,2fYhqwDWXjbpjaIJPEfKFw,2019-02-07,Republic Records,New Zealand,14,viral,daily,18,2019-03-03,35,0,2019-03-16,"18, 19, 19, 20, 19, 24, 25, 35, 30, 26, 24, 31, 35, 35",https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
