Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Splash,QM24S1903246,1LIPyl9jbqlf7vBfTOFeoB,"Ty James, Unheard","51IT5y05qux2Um4bPUxzX6, 4yUqy7ZriHOrcenY7R63et",Splash,193436090506,430wIrp3EmPzGJU4jcuPFX,2019-01-31,"Loyalty Records, Human Re Sources",United States,21,viral,daily,17,2019-02-26,39,-4,2019-03-16,"21, 20, 17, 18, 20, 22, 19, 26, 27, 27, 26, 24, 23, 24, 37, 34, 34, 33, 34, 35, 39",https://open.spotify.com/track/1LIPyl9jbqlf7vBfTOFeoB,https://open.spotify.com/album/430wIrp3EmPzGJU4jcuPFX,https://open.spotify.com/artist/51IT5y05qux2Um4bPUxzX6
I'm Shipping Up To Boston,USHEL0504111,7rSERmjAT38lC5QhJ8hnQc,Dropkick Murphys,7w9jdhcgHNdiPeNPUoFSlx,The Warrior's Code,045778047260,2sZGDqHfU884z3iFris122,2005-07-18,"Heat, Epitaph",United States,4,viral,daily,21,2018-03-17,40,8,2019-03-16,"30, 21, 48, 40",https://open.spotify.com/track/7rSERmjAT38lC5QhJ8hnQc,https://open.spotify.com/album/2sZGDqHfU884z3iFris122,https://open.spotify.com/artist/7w9jdhcgHNdiPeNPUoFSlx
Walker Texas Ranger,USUG11900144,0eBOVXdnrVQ0rITgKXBAA7,DaBaby,4r63FhuTkUYltbVAg5TQnk,Blank Blank,602577465444,6L2X9oAs6pLMweH6pSpfTT,2018-11-01,"South Coast Music Group, distributed by Interscope Records",United States,13,viral,daily,34,2019-03-10,41,-4,2019-03-16,"44, 44, 44, 39, 40, 38, 34, 36, 36, 34, 35, 37, 41",https://open.spotify.com/track/0eBOVXdnrVQ0rITgKXBAA7,https://open.spotify.com/album/6L2X9oAs6pLMweH6pSpfTT,https://open.spotify.com/artist/4r63FhuTkUYltbVAg5TQnk
Buttercup,QMPKX1703669,2mlGPkAx4kwF8Df0GlScsC,Jack Stauber,1vVHevk2PD45epYnDi9CCc,Pop Food,840095232142,1RHa1VdX6lsLbeedgsV1cb,2017-03-24,Plopscotch Records,United States,4,viral,daily,42,2019-03-15,42,0,2019-03-16,"48, 45, 42, 42",https://open.spotify.com/track/2mlGPkAx4kwF8Df0GlScsC,https://open.spotify.com/album/1RHa1VdX6lsLbeedgsV1cb,https://open.spotify.com/artist/1vVHevk2PD45epYnDi9CCc
Bestie (feat. Kodak Black),USAT21813077,0jtTDKt1FRTnKbWtWSGLoy,"Bhad Bhabie, Kodak Black","7DuTB6wdzqFJGFLSH17k8e, 46SHBwWsqBkxI7EeeBEQG7",Bestie (feat. Kodak Black),075679855268,5quBSagpG6fUlQ4HIP5vxc,2019-01-30,B.H.A.D. Music,United States,21,viral,daily,22,2019-02-26,43,0,2019-03-16,"29, 23, 22, 22, 22, 24, 22, 35, 36, 36, 33, 32, 34, 32, 43, 40, 40, 38, 39, 43, 43",https://open.spotify.com/track/0jtTDKt1FRTnKbWtWSGLoy,https://open.spotify.com/album/5quBSagpG6fUlQ4HIP5vxc,https://open.spotify.com/artist/7DuTB6wdzqFJGFLSH17k8e
bury a friend,USUM71900770,4NzMOnvSJVNKF7nw5NkXIP,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,602577437243,0lheRPWdziAtZEiww8TrUO,2019-01-29,Darkroom,United States,21,viral,daily,8,2019-02-24,44,-5,2019-03-16,"8, 9, 11, 13, 14, 14, 16, 28, 32, 34, 32, 30, 29, 27, 36, 37, 38, 35, 37, 39, 44",https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,https://open.spotify.com/album/0lheRPWdziAtZEiww8TrUO,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Secreto,USXDR1900020,5W83ErFkO3aKAIS1WMi6u0,"Anuel Aa, Karol G","2R21vXR83lH98kGeO99Y66, 790FomKkXshlbRYZFtlgla",Secreto,602577443893,6owzcG80ifZRDApCpzJYK1,2019-01-14,Anuel AA & Karol G - Secreto,United States,35,viral,daily,12,2019-02-17,45,1,2019-03-16,"13, 14, 14, 15, 14, 14, 13, 12, 12, 12, 14, 17, 17, 18, 24, 26, 26, 27, 29, 31, 30, 40, 40, 41, 41, 38, 35, 35, 42, 42, 43, 42, 44, 46, 45",https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,https://open.spotify.com/album/6owzcG80ifZRDApCpzJYK1,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66
Brothers,USSM11807756,3OKjDHmSJVKOn6V4hCR8bq,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,Brothers,886447341063,0SatSu4oPcySbIrsjWPrOt,2018-10-25,Columbia,United States,25,viral,daily,5,2018-11-18,46,-2,2019-03-16,"5, 8, 8, 9, 9, 8, 7, 26, 23, 23, 23, 23, 23, 21, 33, 30, 24, 23, 24, 32, 33, 41, 40, 44, 46",https://open.spotify.com/track/3OKjDHmSJVKOn6V4hCR8bq,https://open.spotify.com/album/0SatSu4oPcySbIrsjWPrOt,https://open.spotify.com/artist/6jGMq4yGs7aQzuGsMgVgZR
Never Go Back,USQX91803643,2QrXzOqLCVDRZHkToA0tSR,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Never Go Back,886447498996,5EqITahBSjWcU71mbhFPEf,2019-02-14,Arista Records,United States,7,viral,daily,31,2019-03-10,47,-2,2019-03-16,"31, 33, 39, 43, 43, 45, 47",https://open.spotify.com/track/2QrXzOqLCVDRZHkToA0tSR,https://open.spotify.com/album/5EqITahBSjWcU71mbhFPEf,https://open.spotify.com/artist/3EOEK57CV77D4ovYVcmiyt
Aullando,USSD11800386,7BuHdm4lQqcyG3qTwdkxus,"Wisin & Yandel, Romeo Santos","1wZtkThiXbVNtj6hee6dz9, 5lwmRuXgjX8xIwlnauTZIP","Los Campeones del Pueblo ""The Big Leagues""",886447451380,4zbMionGv9W33xjQfoMyuo,2018-12-13,Sony Music Latin,United States,10,viral,daily,46,2019-03-09,48,1,2019-03-16,"50, 47, 46, 50, 50, 50, 47, 49, 49, 48",https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus,https://open.spotify.com/album/4zbMionGv9W33xjQfoMyuo,https://open.spotify.com/artist/1wZtkThiXbVNtj6hee6dz9
Forever's Gotta Start Somewhere,CAUM71800318,73Jdi1pXMmpo5LcsSXiFLO,Chad Brownlee,6k8x9QgjJkEQ1xRIDYa0tU,Forever's Gotta Start Somewhere,602577394812,2u4Q6LoY2vQhed4aa630jK,2019-01-03,Universal Music Canada,United States,32,viral,daily,11,2019-02-14,49,-7,2019-03-16,"50, 39, 23, 21, 17, 15, 12, 11, 12, 16, 18, 23, 25, 33, 40, 44, 43, 38, 37, 33, 36, 35, 29, 27, 48, 45, 45, 45, 43, 43, 42, 49",https://open.spotify.com/track/73Jdi1pXMmpo5LcsSXiFLO,https://open.spotify.com/album/2u4Q6LoY2vQhed4aa630jK,https://open.spotify.com/artist/6k8x9QgjJkEQ1xRIDYa0tU
7 rings,USUM71900110,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",602577490385,2fYhqwDWXjbpjaIJPEfKFw,2019-02-07,Republic Records,United States,14,viral,daily,30,2019-03-03,50,-2,2019-03-16,"30, 33, 35, 35, 37, 38, 40, 44, 43, 44, 44, 46, 48, 50",https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
