Track,ISRC,Spotify Track Ids,Artist(s),Spotify Artist Id(s),Album(s),UPC,Spotify Album Ids,Release Date,Record Label,Country,Days on Chart,Chart Type,Chart Cycle,Peak Position,Peak Date,Latest Position,Position Change,Latest Charting Date,Historical Positions,Spotify Track Link,Spotify Album Link,Spotify Artist Link
Last Hurrah,USWB11803381,0i0wnv9UoFdZ5MfuFGQzMy,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Last Hurrah,054391946652,5ljc69MQ6iwGcJ4SmHaAh5,2019-02-14,Warner Bros.,United Kingdom,7,viral,daily,27,2019-03-13,35,1,2019-03-16,"33, 33, 31, 27, 32, 36, 35",https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy,https://open.spotify.com/album/5ljc69MQ6iwGcJ4SmHaAh5,https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb
Hoods Hottest,QM42K1984732,3PX2xEVFxwSaEpsLuH5Olj,"Meekz, Mikabeats","1Pm6hTRjgSkT3B4FCQpW4g, 6LiV0zAXB7kuKgt1MBx1gP",Hoods Hottest,053000318262,4z0lurhdl5hQ8a5Z6C5NMX,2019-01-16,Repost Network,United Kingdom,1,viral,daily,36,2019-03-16,36,,2019-03-16,36,https://open.spotify.com/track/3PX2xEVFxwSaEpsLuH5Olj,https://open.spotify.com/album/4z0lurhdl5hQ8a5Z6C5NMX,https://open.spotify.com/artist/1Pm6hTRjgSkT3B4FCQpW4g
MIDDLE CHILD,QMJMT1902056,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,810760037709,3XzSOIE6zGLliuqsVGLmUc,2019-01-22,Dreamville,United Kingdom,28,viral,daily,7,2019-02-17,37,0,2019-03-16,"7, 7, 7, 9, 9, 8, 8, 19, 19, 18, 18, 17, 17, 19, 25, 26, 28, 29, 29, 31, 33, 35, 38, 36, 37, 37, 37, 37",https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,https://open.spotify.com/album/3XzSOIE6zGLliuqsVGLmUc,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5
Lamberghini,INM431800062,45P9g6kUb7itdonjjGjDdS,"The Doorbeen, Ragini","5Yz2RjLWPx1PcIRoiot9Sc, 4aKee88VYIQpk7cOJGVwmO",Lamberghini - Single,8902633281295,0DrkuJJyjj8wsr4wuzRfQF,2018-02-25,Times Music,United Kingdom,10,viral,daily,33,2019-03-13,38,-4,2019-03-16,"41, 35, 34, 48, 41, 40, 33, 33, 34, 38",https://open.spotify.com/track/45P9g6kUb7itdonjjGjDdS,https://open.spotify.com/album/0DrkuJJyjj8wsr4wuzRfQF,https://open.spotify.com/artist/5Yz2RjLWPx1PcIRoiot9Sc
Wow.,USUM71822626,6MWtB6iiXyIwun0YzU6DFP,Post Malone,246dkjvS1zLTtiykXe5h60,Wow.,602577412813,5Dcz8PZHKuvTyjbqEPL5VM,2018-12-23,Republic Records,United Kingdom,61,viral,daily,1,2019-01-15,39,-1,2019-03-16,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 3, 3, 3, 7, 10, 10, 10, 10, 11, 10, 11, 11, 10, 10, 11, 11, 12, 14, 15, 17, 15, 17, 19, 22, 24, 26, 24, 25, 25, 25, 25, 32, 30, 33, 30, 32, 34, 35, 37, 37, 37, 36, 36, 38, 39",https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,https://open.spotify.com/album/5Dcz8PZHKuvTyjbqEPL5VM,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60
Act Up,USUG11802247,4eIT2gZ0WZyJpgfmoD6saJ,City Girls,37hAfseJWi0G3Scife12Il,Girl Code,602577328282,45TU0GIOO5AxFoiOPk08i1,2018-11-15,"Quality Control Music, Motown Records, Capitol Records",United Kingdom,12,viral,daily,39,2019-03-14,40,-1,2019-03-16,"50, 47, 47, 50, 49, 46, 43, 42, 41, 39, 39, 40",https://open.spotify.com/track/4eIT2gZ0WZyJpgfmoD6saJ,https://open.spotify.com/album/45TU0GIOO5AxFoiOPk08i1,https://open.spotify.com/artist/37hAfseJWi0G3Scife12Il
7 rings,USUM71900110,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",602577490385,2fYhqwDWXjbpjaIJPEfKFw,2019-02-07,Republic Records,United Kingdom,14,viral,daily,28,2019-03-03,41,2,2019-03-16,"28, 28, 31, 32, 33, 37, 43, 44, 44, 43, 42, 43, 43, 41",https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
Dancing With A Stranger (with Normani),GBUM71807386,6Qs4SXO9dwPj5GKvVOv8Ki,"Sam Smith, Normani","2wY79sveU1sp5g7SokKOiI, 2cWZOOzeOm4WmBJRnD5R7I",Dancing With A Stranger (with Normani),602577404139,1V9oE8bVilClrk5naqyyvL,2019-01-10,Capitol,United Kingdom,42,viral,daily,4,2019-02-03,42,0,2019-03-16,"4, 4, 4, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 11, 11, 11, 11, 11, 12, 14, 17, 18, 19, 20, 21, 23, 23, 27, 27, 30, 31, 34, 36, 39, 43, 42, 45, 43, 45, 42, 42",https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,https://open.spotify.com/album/1V9oE8bVilClrk5naqyyvL,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI
Pop Out (feat. Lil TJay),USQX91900309,5AjINjwKyRvQJhSe2zpPHi,"Polo G, Lil Tjay","6AgTAQt8XS6jRWi4sX7w49, 6jGMq4yGs7aQzuGsMgVgZR",Pop Out (feat. Lil TJay),886447536087,2QZIT7e4W9ZFQ716TSxRI3,2019-01-31,Columbia,United Kingdom,4,viral,daily,42,2019-03-14,43,2,2019-03-16,"47, 42, 45, 43",https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi,https://open.spotify.com/album/2QZIT7e4W9ZFQ716TSxRI3,https://open.spotify.com/artist/6AgTAQt8XS6jRWi4sX7w49
Bestie (feat. Kodak Black),USAT21813077,0jtTDKt1FRTnKbWtWSGLoy,"Bhad Bhabie, Kodak Black","7DuTB6wdzqFJGFLSH17k8e, 46SHBwWsqBkxI7EeeBEQG7",Bestie (feat. Kodak Black),075679855268,5quBSagpG6fUlQ4HIP5vxc,2019-01-30,B.H.A.D. Music,United Kingdom,20,viral,daily,26,2019-03-02,44,0,2019-03-16,"48, 39, 32, 34, 31, 27, 26, 30, 33, 32, 33, 31, 38, 42, 40, 40, 41, 45, 44, 44",https://open.spotify.com/track/0jtTDKt1FRTnKbWtWSGLoy,https://open.spotify.com/album/5quBSagpG6fUlQ4HIP5vxc,https://open.spotify.com/artist/7DuTB6wdzqFJGFLSH17k8e
Woke Up Late (feat. Hailee Steinfeld),QMCE31801829,3qLBz3j26AHO2jBYUQWLA6,"Drax Project, Hailee Steinfeld","6S0IvKlvPMX1RtAYtVpUV8, 5p7f24Rk5HkUZsaS3BLG5F",Woke Up Late (feat. Hailee Steinfeld),814908026082,4orebNTJrv5qLKVBOunr1N,2019-01-20,300 Entertainment,United Kingdom,24,viral,daily,26,2019-02-28,45,-5,2019-03-16,"49, 44, 34, 29, 28, 27, 28, 26, 26, 27, 36, 38, 41, 38, 39, 40, 38, 39, 39, 38, 35, 38, 40, 45",https://open.spotify.com/track/3qLBz3j26AHO2jBYUQWLA6,https://open.spotify.com/album/4orebNTJrv5qLKVBOunr1N,https://open.spotify.com/artist/6S0IvKlvPMX1RtAYtVpUV8
Istanbul,USEE10181576,63vL5oxWrlvaJ0ayNaQnbX,They Might Be Giants,6zB02lwP6L6ZH32nggQiJT,Flood,075596090766,7FwAtuhhWivxvK4aPgyyUD,1990-01-01,Rhino,United Kingdom,19,viral,daily,28,2019-02-24,46,2,2019-03-16,"46, 30, 30, 28, 29, 29, 30, 29, 31, 33, 38, 35, 36, 41, 44, 47, 47, 48, 46",https://open.spotify.com/track/63vL5oxWrlvaJ0ayNaQnbX,https://open.spotify.com/album/7FwAtuhhWivxvK4aPgyyUD,https://open.spotify.com/artist/6zB02lwP6L6ZH32nggQiJT
Happy Together (feat. Ray Toro),USRE11900098,0n0XAmYCMWlzj3W9VdMejw,"Gerard Way, Ray Toro","4YZ5ECfbM2xSTSQTJGBbO5, 7vtO3glDQwyFDY5cTymz4E",Happy Together (feat. Ray Toro),054391946232,5aoP0bnk5GoiW2NAX779eO,2019-02-07,Reprise,United Kingdom,10,viral,daily,39,2019-03-13,47,-6,2019-03-16,"45, 48, 48, 50, 46, 46, 39, 41, 41, 47",https://open.spotify.com/track/0n0XAmYCMWlzj3W9VdMejw,https://open.spotify.com/album/5aoP0bnk5GoiW2NAX779eO,https://open.spotify.com/artist/4YZ5ECfbM2xSTSQTJGBbO5
365,USUM71900881,2XWjPtKdi5sucFYtVav07d,"Zedd, Katy Perry","2qxJFvFYMEDqd7ui6kSAcq, 6jJ0s89eD6GaHleKKya26X",365,602577461934,7DMS5dzWQu7R3D59CKw4TA,2019-02-13,Interscope Records,United Kingdom,4,viral,daily,46,2019-03-15,48,-2,2019-03-16,"50, 48, 46, 48",https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d,https://open.spotify.com/album/7DMS5dzWQu7R3D59CKw4TA,https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq
Think About Us (feat. Ty Dolla $ign),GBHMU1900003,18n2GdCpsHYzkbMKPavE7Y,"Little Mix, Ty Dolla $ign","3e7awlrlDSwF3iM0WBjGMp, 7c0XG5cIJTrrAgEC3ULPiq",Think About Us (feat. Ty Dolla $ign),886447529010,0zR4eWgX7vFfZNtP4pkqYy,2019-01-24,Syco Music,United Kingdom,28,viral,daily,17,2019-03-02,49,0,2019-03-16,"38, 30, 28, 24, 26, 25, 25, 22, 21, 21, 24, 23, 20, 17, 19, 18, 18, 17, 19, 19, 20, 26, 31, 39, 46, 47, 49, 49",https://open.spotify.com/track/18n2GdCpsHYzkbMKPavE7Y,https://open.spotify.com/album/0zR4eWgX7vFfZNtP4pkqYy,https://open.spotify.com/artist/3e7awlrlDSwF3iM0WBjGMp
Toast,GBARL1801611,3VEpRXloN4rbzNRPSQzZFW,Koffee,1gWjcmBsveEYMxOZ0VRi32,Toast,886447430408,5wrjX4P4iirfltdwKC3VOc,2018-11-14,Columbia,United Kingdom,31,viral,daily,24,2018-12-12,50,-5,2019-03-16,"27, 29, 29, 24, 26, 24, 24, 49, 48, 49, 49, 50, 49, 45, 48, 48, 49, 47, 46, 46, 50, 47, 45, 44, 45, 41, 42, 45, 45, 45, 50",https://open.spotify.com/track/3VEpRXloN4rbzNRPSQzZFW,https://open.spotify.com/album/5wrjX4P4iirfltdwKC3VOc,https://open.spotify.com/artist/1gWjcmBsveEYMxOZ0VRi32
